case,omitted,eligible,collateral,recovered,changed,status
same_value,none,False,False,False,False,conflict
same_value,scope,False,False,False,False,conflict
same_value,policy,False,False,False,False,conflict
same_value,expiry,False,False,False,False,conflict
same_value,incarnation,False,False,False,False,conflict
same_value,provenance,False,True,False,True,compensated
same_value,invariant,False,False,False,False,conflict
same_value,consumption,False,False,False,False,conflict
independent_grant,none,True,False,True,True,compensated
independent_grant,scope,True,False,True,True,compensated
independent_grant,policy,True,False,True,True,compensated
independent_grant,expiry,True,False,True,True,compensated
independent_grant,incarnation,True,False,True,True,compensated
independent_grant,provenance,True,True,False,True,compensated
independent_grant,invariant,True,False,True,True,compensated
independent_grant,consumption,True,False,True,True,compensated
disjoint_field,none,True,False,True,True,compensated
disjoint_field,scope,True,False,True,True,compensated
disjoint_field,policy,True,False,True,True,compensated
disjoint_field,expiry,True,False,True,True,compensated
disjoint_field,incarnation,True,False,True,True,compensated
disjoint_field,provenance,True,False,True,True,compensated
disjoint_field,invariant,True,False,True,True,compensated
disjoint_field,consumption,True,False,True,True,compensated
independent_credit,none,True,False,True,True,compensated
independent_credit,scope,True,False,True,True,compensated
independent_credit,policy,True,False,True,True,compensated
independent_credit,expiry,True,False,True,True,compensated
independent_credit,incarnation,True,False,True,True,compensated
independent_credit,provenance,True,False,True,True,compensated
independent_credit,invariant,True,False,True,True,compensated
independent_credit,consumption,True,False,True,True,compensated
reused_name,none,False,False,False,False,incarnation_conflict
reused_name,scope,False,False,False,False,incarnation_conflict
reused_name,policy,False,False,False,False,incarnation_conflict
reused_name,expiry,False,False,False,False,incarnation_conflict
reused_name,incarnation,False,True,False,True,compensated
reused_name,provenance,False,False,False,False,incarnation_conflict
reused_name,invariant,False,False,False,False,incarnation_conflict
reused_name,consumption,False,False,False,False,incarnation_conflict
business_invariant,none,False,False,False,False,invariant_conflict
business_invariant,scope,False,False,False,False,invariant_conflict
business_invariant,policy,False,False,False,False,invariant_conflict
business_invariant,expiry,False,False,False,False,invariant_conflict
business_invariant,incarnation,False,False,False,False,invariant_conflict
business_invariant,provenance,False,False,False,False,invariant_conflict
business_invariant,invariant,False,True,False,True,compensated
business_invariant,consumption,False,False,False,False,invariant_conflict
wrong_run,none,False,False,False,False,scope_denied
wrong_run,scope,False,True,False,True,compensated
wrong_run,policy,False,False,False,False,scope_denied
wrong_run,expiry,False,False,False,False,scope_denied
wrong_run,incarnation,False,False,False,False,scope_denied
wrong_run,provenance,False,False,False,False,scope_denied
wrong_run,invariant,False,False,False,False,scope_denied
wrong_run,consumption,False,False,False,False,scope_denied
revoked,none,False,False,False,False,policy_denied
revoked,scope,False,False,False,False,policy_denied
revoked,policy,False,True,False,True,compensated
revoked,expiry,False,False,False,False,policy_denied
revoked,incarnation,False,False,False,False,policy_denied
revoked,provenance,False,False,False,False,policy_denied
revoked,invariant,False,False,False,False,policy_denied
revoked,consumption,False,False,False,False,policy_denied
expired,none,False,False,False,False,expired
expired,scope,False,False,False,False,expired
expired,policy,False,False,False,False,expired
expired,expiry,False,True,False,True,compensated
expired,incarnation,False,False,False,False,expired
expired,provenance,False,False,False,False,expired
expired,invariant,False,False,False,False,expired
expired,consumption,False,False,False,False,expired
duplicate,none,False,False,False,False,already_compensated
duplicate,scope,False,False,False,False,already_compensated
duplicate,policy,False,False,False,False,already_compensated
duplicate,expiry,False,False,False,False,already_compensated
duplicate,incarnation,False,False,False,False,already_compensated
duplicate,provenance,False,False,False,False,already_compensated
duplicate,invariant,False,False,False,False,already_compensated
duplicate,consumption,False,False,False,False,effect_missing
