case,kind,history,policy,eligible,collateral,recovered,changed,status
0,set,,snapshot,True,False,True,True,compensated
0,set,,mapped,True,False,True,True,compensated
0,set,,value,True,False,True,True,compensated
0,set,,object,True,False,True,True,compensated
0,set,,field,True,False,True,True,compensated
0,set,,undoscope,True,False,True,True,compensated
0,set,,deny,True,False,False,False,denied
1,set,0,snapshot,False,True,False,True,compensated
1,set,0,mapped,False,True,False,True,compensated
1,set,0,value,False,True,False,True,compensated
1,set,0,object,False,False,False,False,conflict
1,set,0,field,False,False,False,False,conflict
1,set,0,undoscope,False,False,False,False,conflict
1,set,0,deny,False,False,False,False,denied
2,set,1,snapshot,False,True,False,True,compensated
2,set,1,mapped,False,True,False,True,compensated
2,set,1,value,False,False,False,False,conflict
2,set,1,object,False,False,False,False,conflict
2,set,1,field,False,False,False,False,conflict
2,set,1,undoscope,False,False,False,False,conflict
2,set,1,deny,False,False,False,False,denied
3,set,2,snapshot,False,True,False,True,compensated
3,set,2,mapped,False,True,False,True,compensated
3,set,2,value,False,False,False,False,conflict
3,set,2,object,False,False,False,False,conflict
3,set,2,field,False,False,False,False,conflict
3,set,2,undoscope,False,False,False,False,conflict
3,set,2,deny,False,False,False,False,denied
4,set,3,snapshot,True,True,False,True,compensated
4,set,3,mapped,True,False,True,True,compensated
4,set,3,value,True,False,True,True,compensated
4,set,3,object,True,False,False,False,conflict
4,set,3,field,True,False,True,True,compensated
4,set,3,undoscope,True,False,True,True,compensated
4,set,3,deny,True,False,False,False,denied
5,set,00,snapshot,False,True,False,True,compensated
5,set,00,mapped,False,True,False,True,compensated
5,set,00,value,False,True,False,True,compensated
5,set,00,object,False,False,False,False,conflict
5,set,00,field,False,False,False,False,conflict
5,set,00,undoscope,False,False,False,False,conflict
5,set,00,deny,False,False,False,False,denied
6,set,01,snapshot,False,True,False,True,compensated
6,set,01,mapped,False,True,False,True,compensated
6,set,01,value,False,False,False,False,conflict
6,set,01,object,False,False,False,False,conflict
6,set,01,field,False,False,False,False,conflict
6,set,01,undoscope,False,False,False,False,conflict
6,set,01,deny,False,False,False,False,denied
7,set,02,snapshot,False,True,False,True,compensated
7,set,02,mapped,False,True,False,True,compensated
7,set,02,value,False,False,False,False,conflict
7,set,02,object,False,False,False,False,conflict
7,set,02,field,False,False,False,False,conflict
7,set,02,undoscope,False,False,False,False,conflict
7,set,02,deny,False,False,False,False,denied
8,set,03,snapshot,False,True,False,True,compensated
8,set,03,mapped,False,True,False,True,compensated
8,set,03,value,False,True,False,True,compensated
8,set,03,object,False,False,False,False,conflict
8,set,03,field,False,False,False,False,conflict
8,set,03,undoscope,False,False,False,False,conflict
8,set,03,deny,False,False,False,False,denied
9,set,10,snapshot,False,True,False,True,compensated
9,set,10,mapped,False,True,False,True,compensated
9,set,10,value,False,True,False,True,compensated
9,set,10,object,False,False,False,False,conflict
9,set,10,field,False,False,False,False,conflict
9,set,10,undoscope,False,False,False,False,conflict
9,set,10,deny,False,False,False,False,denied
10,set,11,snapshot,False,True,False,True,compensated
10,set,11,mapped,False,True,False,True,compensated
10,set,11,value,False,False,False,False,conflict
10,set,11,object,False,False,False,False,conflict
10,set,11,field,False,False,False,False,conflict
10,set,11,undoscope,False,False,False,False,conflict
10,set,11,deny,False,False,False,False,denied
11,set,12,snapshot,False,True,False,True,compensated
11,set,12,mapped,False,True,False,True,compensated
11,set,12,value,False,False,False,False,conflict
11,set,12,object,False,False,False,False,conflict
11,set,12,field,False,False,False,False,conflict
11,set,12,undoscope,False,False,False,False,conflict
11,set,12,deny,False,False,False,False,denied
12,set,13,snapshot,False,True,False,True,compensated
12,set,13,mapped,False,True,False,True,compensated
12,set,13,value,False,False,False,False,conflict
12,set,13,object,False,False,False,False,conflict
12,set,13,field,False,False,False,False,conflict
12,set,13,undoscope,False,False,False,False,conflict
12,set,13,deny,False,False,False,False,denied
