round,policy,microseconds,status
0,mapped,58.875,compensated
0,field,55.375,compensated
0,deny,41.542,denied
0,value,58.917,compensated
0,snapshot,65.583,compensated
0,undoscope,63.375,compensated
0,object,69.375,compensated
1,mapped,67.75,compensated
1,object,62.333,compensated
1,snapshot,64.875,compensated
1,value,58.833,compensated
1,undoscope,149.625,compensated
1,field,100.791,compensated
1,deny,51.292,denied
2,field,73.333,compensated
2,value,68.625,compensated
2,object,72.042,compensated
2,undoscope,68.458,compensated
2,mapped,68.916,compensated
2,snapshot,67.417,compensated
2,deny,54.709,denied
3,undoscope,80.625,compensated
3,value,73.0,compensated
3,deny,48.875,denied
3,field,70.75,compensated
3,object,66.959,compensated
3,snapshot,111.75,compensated
3,mapped,97.292,compensated
4,deny,53.625,denied
4,snapshot,94.166,compensated
4,mapped,68.25,compensated
4,field,70.584,compensated
4,value,60.291,compensated
4,object,66.834,compensated
4,undoscope,65.125,compensated
5,field,65.042,compensated
5,undoscope,75.292,compensated
5,deny,47.125,denied
5,object,71.333,compensated
5,snapshot,69.333,compensated
5,mapped,66.542,compensated
5,value,64.75,compensated
6,value,67.541,compensated
6,undoscope,63.541,compensated
6,deny,49.083,denied
6,object,66.375,compensated
6,snapshot,69.458,compensated
6,field,71.167,compensated
6,mapped,82.5,compensated
7,mapped,68.042,compensated
7,field,64.584,compensated
7,object,71.625,compensated
7,deny,50.167,denied
7,value,103.458,compensated
7,snapshot,76.334,compensated
7,undoscope,68.625,compensated
8,snapshot,91.333,compensated
8,deny,53.875,denied
8,undoscope,67.875,compensated
8,field,73.209,compensated
8,value,67.5,compensated
8,mapped,68.208,compensated
8,object,66.5,compensated
9,snapshot,77.333,compensated
9,undoscope,70.708,compensated
9,value,71.458,compensated
9,object,77.083,compensated
9,mapped,63.083,compensated
9,field,61.959,compensated
9,deny,67.417,denied
10,snapshot,69.667,compensated
10,deny,44.125,denied
10,value,68.416,compensated
10,undoscope,60.291,compensated
10,object,60.083,compensated
10,mapped,59.042,compensated
10,field,61.791,compensated
11,mapped,71.292,compensated
11,undoscope,59.167,compensated
11,deny,42.416,denied
11,snapshot,63.625,compensated
11,value,62.375,compensated
11,object,64.167,compensated
11,field,71.292,compensated
12,mapped,60.834,compensated
12,undoscope,64.333,compensated
12,deny,44.833,denied
12,object,78.167,compensated
12,value,66.583,compensated
12,field,68.417,compensated
12,snapshot,73.875,compensated
13,deny,40.0,denied
13,field,65.5,compensated
13,object,81.542,compensated
13,value,73.041,compensated
13,mapped,79.375,compensated
13,undoscope,81.917,compensated
13,snapshot,123.0,compensated
14,deny,64.709,denied
14,snapshot,79.208,compensated
14,object,82.959,compensated
14,mapped,67.958,compensated
14,undoscope,72.167,compensated
14,field,63.75,compensated
14,value,68.375,compensated
15,snapshot,81.042,compensated
15,mapped,61.333,compensated
15,object,66.459,compensated
15,field,68.542,compensated
15,value,66.375,compensated
15,deny,42.458,denied
15,undoscope,63.333,compensated
16,undoscope,69.417,compensated
16,snapshot,75.333,compensated
16,deny,69.333,denied
16,object,69.875,compensated
16,field,69.084,compensated
16,mapped,69.791,compensated
16,value,76.292,compensated
17,mapped,64.083,compensated
17,deny,44.417,denied
17,value,86.125,compensated
17,snapshot,100.666,compensated
17,object,71.125,compensated
17,undoscope,76.375,compensated
17,field,79.584,compensated
18,value,68.625,compensated
18,snapshot,67.25,compensated
18,mapped,64.458,compensated
18,deny,45.167,denied
18,field,71.042,compensated
18,undoscope,69.083,compensated
18,object,72.625,compensated
19,field,72.917,compensated
19,mapped,61.125,compensated
19,snapshot,76.959,compensated
19,deny,47.125,denied
19,undoscope,97.833,compensated
19,value,71.125,compensated
19,object,66.666,compensated
20,mapped,93.583,compensated
20,undoscope,83.333,compensated
20,field,68.667,compensated
20,object,57.416,compensated
20,deny,39.167,denied
20,value,66.709,compensated
20,snapshot,67.417,compensated
21,undoscope,64.375,compensated
21,object,72.542,compensated
21,snapshot,70.208,compensated
21,field,63.25,compensated
21,mapped,62.333,compensated
21,value,61.459,compensated
21,deny,48.5,denied
22,deny,63.625,denied
22,field,64.875,compensated
22,value,58.458,compensated
22,object,58.291,compensated
22,undoscope,58.875,compensated
22,snapshot,65.292,compensated
22,mapped,63.625,compensated
23,mapped,68.25,compensated
23,deny,48.125,denied
23,value,62.084,compensated
23,field,64.959,compensated
23,object,59.375,compensated
23,undoscope,63.042,compensated
23,snapshot,68.458,compensated
24,deny,41.666,denied
24,value,65.0,compensated
24,undoscope,58.583,compensated
24,field,68.542,compensated
24,snapshot,64.458,compensated
24,object,56.542,compensated
24,mapped,57.625,compensated
25,value,58.125,compensated
25,deny,43.083,denied
25,undoscope,59.0,compensated
25,object,65.25,compensated
25,mapped,71.125,compensated
25,snapshot,62.875,compensated
25,field,131.417,compensated
26,value,84.709,compensated
26,object,81.0,compensated
26,mapped,70.666,compensated
26,field,71.917,compensated
26,snapshot,75.625,compensated
26,undoscope,61.459,compensated
26,deny,51.958,denied
27,snapshot,73.041,compensated
27,undoscope,65.459,compensated
27,value,66.0,compensated
27,field,66.25,compensated
27,mapped,69.792,compensated
27,deny,43.584,denied
27,object,60.666,compensated
28,field,66.292,compensated
28,object,60.833,compensated
28,snapshot,72.375,compensated
28,deny,47.667,denied
28,undoscope,67.958,compensated
28,mapped,62.708,compensated
28,value,59.875,compensated
29,undoscope,62.709,compensated
29,mapped,58.708,compensated
29,value,66.833,compensated
29,snapshot,66.042,compensated
29,object,57.0,compensated
29,field,67.5,compensated
29,deny,43.25,denied
30,snapshot,68.25,compensated
30,object,58.125,compensated
30,deny,41.875,denied
30,value,63.083,compensated
30,field,64.0,compensated
30,mapped,61.125,compensated
30,undoscope,59.917,compensated
31,object,57.583,compensated
31,mapped,57.833,compensated
31,value,61.792,compensated
31,undoscope,66.958,compensated
31,field,70.5,compensated
31,snapshot,70.458,compensated
31,deny,43.875,denied
